"JointSubmissionId","Institution","UnitOfAssessment","MultipleSubmission","StaffIdentifier","OutputNumber","Year","OutputType","LongTitle","ShortTitle","Pagination","Publisher","Editors","ISBN","PublicationDate","EndDate","URL","DOI","OtherDetails","EnglishAbstract","ResearchGroup","IsInterdisciplinary","NumberofAdditionalAuthors","CoAuthor1","CoAuthor1External","CoAuthor2","CoAuthor2External","CoAuthor3","CoAuthor3External"
,"0110",34,,796156,3,,"D","Sidgwick, Marshall and the Cambridge School of Economics","38","15-44","History of Political Economy",,"1527-1919",2006-Apr-01,,,"10.1215/00182702-38-1-15",,,,False,0,,,,,,
,"0110",34,,796156,4,2002,"A","The Ordinary Business of Life: A History of Economics from Ancient Times to the Twenty-First Century",,"x+369","Princeton University Press",,"0691096260",,,,,,,,False,0,,,,,,
,"0110",34,,796154,1,,"D","An integral inequality on C([0,1]) and dispersion of OLS under near-integration","17","471-474","Econometric Theory",,"1469-4360",2001-Mar-01,,,"10.1017/S0266466601172087",,,,False,0,"Burridge, P  ",False,"Nandeibam, S",False,,
,"0110",34,,796154,2,,"D","An Optimal Test Against a Random Walk Component in a Non-Orthogonal Unobserved Components Model","5","520-532","Econometrics Journal",,"1368-423X",2003-Jan-01,,,"10.1111/1368-423X.t01-1-00096",,,,False,0,"Taylor, AMR",False,,,,
,"0110",34,,796154,3,,"D","Ambiguity and Public Good Provision in Large Societies","7","741-759","Journal of Public Economic Theory",,"1467-9779",2005-Dec-01,,,"10.1111/j.1467-9779.2005.00242.x",,,,False,0,"Kelsey, D",True,"Eichberger, J",True,,
,"0110",34,,796154,4,,"D","The Real Part of a Complex ARMA Process","23","537-545","Econometric Theory",,"1469-4360",2007-Apr-01,,,"10.1017/S0266466607070247",,,,False,0,,,,,,
,"0110",34,,796176,1,,"D","Educational Policy in a Credit Constrained Economy with Skill Heterogeneity","44","939-964","International Economic Review",,"1468-2354",2003-Jul-01,,,"10.1111/1468-2354.t01-1-00095",,,,False,0,"Wang, P",True,,,,
,"0110",34,,796176,2,,"D","Corruption and Transparency in a Growth Model","13","115-149","International Tax and Public Finance",,"1573-6970",2006-May-01,,,"10.1007/s10797-006-1664-z",,,,False,0,"Ellis, CJ",True,,,,
,"0110",34,,796176,3,,"D","Self Employment, Education and Credit Constraints: A Model of Interdependent Credit Rationing Decisions","27","31-51","Journal of Macroeconomics",,"0164-0704",2005-Jan-01,,,"10.1016/j.jmacro.2003.06.006",,,,False,0,,,,,,
,"0110",34,,796176,4,,"D","Should Central Government Seek to Control the Level of Local Authority Expenditures?","23","265-285","Fiscal Studies",,"1475-5890",2005-Feb-01,,,"10.1111/j.1475-5890.2002.tb00061.x",,,,False,0,"Watt, PA",False,,,,
,"0110",34,,796174,1,,"D","Unemployment in Interwar Germany: An Analysis of the Labor Market, 1927-1936","66","778-808","The Journal of Economic History",,"1471-6372",2006-Sep-01,,,"10.1017/S0022050706000325",,,,False,0,"Dimsdale, NH",True,"van Riel, A",True,,
,"0110",34,,796174,2,,"D","Repayment, Risk and European Home Owners: The interplay of housing markets, labour markets, financial markets and social security systems","19","433-446","Housing Studies",,"1466-1810",2004-May-01,,,"10.1080/0267303042000204313",,,,False,0,"Doling, JF",False,,,,
,"0110",34,,796174,3,,"D","The Causes of Unemployment in Interwar Australia","78","388-405","The Economic Record",,"1475-4932",2002-Dec-01,,,"10.1111/1475-4932.00066",,,,False,0,"Dimsdale, NH",True,,,,
,"0110",34,,796174,4,2006,"B","The Social Limits to Growth: The Security and Insecurity Aspects of Home Ownership",,"1-202","Delft University Press",,"1586036998",,,,,"Please assess authored chapters as well as the overall book.",,,False,0,"Neuteboom, P",True,,,,
,"0110",34,,796175,1,,"D","On Risk Aversion and Investment - a Theoretical Approach","162","601-626","Journal of Institutional and Theoretical Economics JITE",,"0932-4569",2006-Dec-01,,,"10.1628/093245606779252733",,,,False,0,"Fender, J",False,,,,
,"0110",34,,796171,1,,"D","Monetary Integration and Inflation Preferences: A Real Options Analysis","49","845-860","European Economic Review",,"0014-2921",2003-Oct-01,,,"10.1016/j.euroecorev.2003.08.002",,,,False,0,,,,,,
,"0110",34,,796171,2,,"D","Joining European Monetary Union: A Real Options Perspective","54","105-115","Scottish Journal of Political Economy",,"1467-9485",2007-Jan-01,,,"10.1111/j.1467-9485.2007.00406.x",,,,False,0,,,,,,
,"0110",34,,796171,3,,"D","Marriage and The Value of Waiting","16","423-430","Journal of Population Economics",,"1432-1475",2004-Feb-01,,,"10.1007/s00148-003-0110-0",,,,False,0,,,,,,
,"0110",34,,796171,4,,"D","International Tax Arbitrage, Financial Parity Conditions and Preferential Capital Gains Taxation","5","219-226","Quantitative Finance",,"1469-7696",2005-Apr-01,,,"10.1080/14697680500040470",,,,False,0,,,,,,
,"0110",34,,796169,1,,"D","Industrial Characteristics, Environmental Regulations and Air Pollution: An Analysis of the UK Manufacturing Sector","50","121-143","Journal of Environmental Economics and Management",,"1096-0449",2004-Nov-01,,,"10.1016/j.jeem.2004.08.001",,,,False,0,"Elliott, R",False,"Shimamoto, K",False,,
,"0110",34,,796169,2,,"D","On Visible Choice Sets and Scope Sensitivity","47","71-93","Journal of Environmental Economics and Management",,"1096-0449",2003-May-01,,,"10.1016/S0095-0696(03)00057-3",,,,False,2,"Bateman, I",True,"Cooper, P",True,"Georgiou, S",True
,"0110",34,,796169,3,,"D","Does Trade Liberalisation Increase National Energy Use?","92","108-112","Economics letters",,"0165-1765",2006-Apr-01,,,"10.1016/j.econlet.2006.01.018",,,,False,0,,,,,,
,"0110",34,,796169,4,,"D","Corruption, Income and the Environment: An Empirical Analysis","62","637-647","Ecological Economics",,"0921-8009",2006-Sep-01,,,"10.1016/j.ecolecon.2006.08.003",,,,False,0,,,,,,
,"0110",34,,796168,1,,"D","Risk Aversion and Risk Loving in the Small: A Decomposition of the Multivariate Risk Premium","56","81-106","Bulletin of Economic Research",,"1467-8586",2004-Jan-01,,,"10.1111/j.1467-8586.2004.00190.x",,,,False,0,,,,,,
,"0110",34,,796168,2,,"D","Sickness Absence: An International Comparison","112","F315-F331","The Economic Journal",,"1468-0297",2002-Jun-01,,,"10.1111/1468-0297.00046",,,,False,0,"Barmby, TA",True,"Treble, JG",True,,
,"0110",34,,796168,3,,"D","Sickness Absence in the UK: 1984-2002","II","65-88","Swedish Economic Policy Review",,"1400-1829",2003-Sep-01,,,,,,,False,0,,,,,,
,"0110",34,,796168,4,,"H","The Open-Access, Open-Assessment E-Journal, Hidden Economies and the Socially Optimal Fiscal-Tax to Liquidity-Tax Ratio",,,"Palgrave Macmillan",,,2007-Jun-28,,"http://www.economics-ejournal.org/economics/journalarticles/2007-6/version_1/at_download/file",,"Published in a refereed e-journal",,,False,0,,,,,,
,"0110",34,,796167,1,,"D","Default and Efficient Debt Markets","38","249-270","Journal of Mathematical Economics",,"0304-4068",2002-Sep-01,,,"10.1016/S0304-4068(02)00065-4",,,,False,0,"Kapur, S",True,,,,
,"0110",34,,796167,2,,"D","Transitional Politics: Emerging Incentive Based Instruments in Environmental Regulations","46","458-479","Journal of Environmental Economics and Management",,"1096-0449",2003-Oct-01,,,"10.1016/j.jeem.2003.07.002",,,,False,0,"Aidt, TS",True,,,,
,"0110",34,,796167,3,,"D","Democracy Comes to Europe: Franchise Extension and Fiscal Outcomes 1830-1938","50","249-283","European Economic Review",,"0014-2921",2004-Dec-01,,,"10.1016/j.euroecorev.2004.07.004",,,,False,0,"Aidt, TS",True,"Loukoianova, E",True,,
,"0110",34,,796167,4,,"D","Income Distribution and Income Dynamics in the United Kingdom","16","599-617","Journal of Applied Econometrics",,"1099-1255",2001-Oct-01,,,"10.1002/jae.620",,,,False,0,"Sefton, J",True,"Weale, M",True,,
,"0110",34,,796165,1,,"D","Sunspots, Correlation and Competition","56","174-184","Games and Economic Behavior",,"1090-2473",2005-Jul-01,,,"10.1016/j.geb.2005.05.003",,,,False,0,"Polemarchakis, H",True,,,,
,"0110",34,,796165,2,,"D","On Games with Identical Equilibrium Payoffs","17","223-231","Economic Theory",,"1432-0479",2001-Jan-01,,,"10.1007/PL00004099",,,,False,0,,,,,,
,"0110",34,,796165,3,,"D","Buying and Selling in Strategic Market Games","71","49-53","Economics Letters",,"0165-1765",2001-Mar-01,,,"10.1016/S0165-1765(00)00393-1",,,,False,0,,,,,,
,"0110",34,,796165,4,,"D","Game Theory via Revealed Preferences","37","415-424","Games and Economic Behaviour",,"1090-2473",2002-Mar-01,,,"10.1006/game.2001.0845",,,,False,0,"Zhou, L",True,,,,
,"0110",34,,796166,1,,"D","Intermediation by Aid Agencies","79","469-491","Journal of Development Economics",,"0304-3878",2006-Mar-01,,,"10.1016/j.jdeveco.2006.01.007",,,,False,0,"Seabright, P",True,,,,
,"0110",34,,796166,2,,"D","The Commons with Capital Markets","31","225-254","Economic Theory",,"1432-0479",2006-Jun-01,,,"10.1007/s00199-006-0090-x",,,,False,0,"Dutta, J",False,,,,
,"0110",34,,796166,3,,"D","Non-Linear Strategies in a Linear Quadratic Differential Game","31","3179-3202","Journal of Economic Dynamics and Control",,"0165-1889",2006-Dec-01,,,"10.1016/j.jedc.2006.11.001",,,,False,0,,,,,,
,"0110",34,,796166,4,,"T","<p>Optimal Two Stage Committee Voting Rules</p>","Department of Economics Discussion Paper Series 04-23R","40",,"Other Media",,2007-Mar-21,,"http://www.economics.bham.ac.uk/research/dp2004/060126twostage.pdf",,"Submitted to Social Choice and Welfare",,,False,0,"Ayres, I",True,"Zakariya, N",True,,
,"0110",34,,796164,1,,"D","Structural Change and Long Run Relationships Between US and EU Wheat Export Prices","58","76-90","Journal of Agricultural Economics",,"1477-9552",2007-Jan-01,,,"10.1111/j.1477-9552.2007.00081.x",,,,False,0,"Ghoshray, A",True,,,,
,"0110",34,,796164,2,,"D","Interest Rate Linkages: A Kalman Filter Approach to Detecting Structural Change","22","253-284","Economic Modelling",,"0264-9993",2004-Apr-01,,,"10.1016/j.econmod.2003.12.005",,,,False,0,"Caporale, GM",True,"Hall, SG",True,,
,"0110",34,,796164,3,,"H","Economics Bulletin, On KPSS with GARCH Errors",,,,,,2005-Dec-13,,"http://economicsbulletin.vanderbilt.edu/2005/volume3/EB-05C40003A.pdf",,"Published in a refereed e-journal intended for rapid dissemination",,,False,0,,,,,,
,"0110",34,,796164,4,,"D","Interest Rate Linkages: Identifying Structural Relations","15","977-986","Applied Financial Economics",,"1466-4305",2005-Oct-01,,,"10.1080/09603100500120308",,,,False,0,"Caporale, GM",True,"Hall, SG",True,,
,"0110",34,,796177,1,,"D","Markets for Electricity in Europe","17","329-345","Oxford Review of Economic Policy",,"1460-2121",2001-Oct-01,,,"10.1093/oxrep/17.3.329",,,,False,0,,,,,,
,"0110",34,,796177,2,,"D","Electricity and Markets","21","67-87","Oxford Review of Economic Policy",,"1460-2121",2005-Apr-01,,,"10.1093/oxrep/gri004",,,,False,0,,,,,,
,"0110",34,,796177,3,2004,"C","Seeking a Premier League Economy: the Role of Privatisation","Seeking a Premier League Economy","63-108","University of Chicago Press","Blundell, R, Card, D, Freeman, RB","0226092844",,,,,"National Bureau of Economic Research Comparative Labor Markets Series",,,False,0,"Haskel, JE",True,,,,
,"0110",34,,796177,4,,"D","Nodal Pricing of Electricity: How Much Does it Cost to Get it Wrong?","31","125-149","Journal of Regulatory Economics",,"1573-0468",2007-Feb-01,,,"10.1007/s11149-006-9019-3",,,,False,0,,,,,,
,"0110",34,,796160,1,,"D","Endogenous Pollution Havens: Does FDI Influence Environmental Regulations?","108","157-178","Scandinavian Journal of Economics",,"1467-9442",2006-May-01,,,"10.1111/j.1467-9442.2006.00439.x",,,,False,0,"Cole, MA",False,"Fredriksson, P",True,,
,"0110",34,,796160,2,,"D","Determining the Trade-Environment Composition Effect: The Role of Capital, Labour and Environmental Regulations","46","363-383","Journal of Environmental Economics and Management",,"1096-0449",2003-May-01,,,"10.1016/S0095-0696(03)00021-4",,,,False,0,"Cole, MA",False,,,,
,"0110",34,,796160,3,,"D","Skill Specificity and Labour Mobility: Occupational and Sectoral Dimensions","74","389-413","Manchester School",,"1467-9957",2006-May-01,,,"10.1111/j.1467-9957.2006.00500.x",,,,False,0,"Lindley, J",True,,,,
,"0110",34,,796160,4,,"D","Why the Grass is Not Always Greener: The Competing Effects of Environmental Regulations and Factor Intensities on US Specialization","51","95-109","Ecological Economics",,"0921-8009",2005-Feb-01,,,"10.1016/j.ecolecon.2004.11.014",,,,False,0,"Cole, MA",False,"Shimamoto, K",False,,
,"0110",34,,796161,1,,"D","Estimation of Differential-Difference Equation Systems with Unknown Lag Parameters","22","483-498","Econometric Theory",,"1469-4360",2006-Mar-01,,,"10.1017/S0266466606060233",,,,False,0,"Chambers, M",True,,,,
,"0110",34,,796161,2,,"D","Modeling Cyclical Behavior with Differential-Difference Equations in an Unobserved Components Framework","18","387-419","Econometric Theory",,"1469-4360",2002-May-01,,,"10.1017/S0266466602182077","Published under her maiden name",,,False,0,"Chambers, M",True,,,,
,"0110",34,,796161,3,,"D","The Exact Discrete Time Representation of a System of Fourth-Order Differential Equations","46","213-230","Computers & Mathematics with Applications",,"0898-1221",2003-Dec-01,,,"10.1016/S0898-1221(03)90026-5","Published under her maiden name",,,False,0,,,,,,
,"0110",34,,796161,4,,"T","Cyclical Trends in Continuous Time Models","Department of Economics Discussion Paper Series","1-10",,"Other Media",,2007-Sep-25,,,,"This paper has been re-submitted to Econometric Theory",,,False,0,,,,,,
,"0110",34,,796162,1,,"T","Efficient Compromising","Department of Economics Diiscussion Paper Series 06-11","1-22",,"Other Media",,2006-Jan-01,,"http://www.econ.ucl.ac.uk/papers/working_paper_series/0408.pdf",,"This paper has received a ""revise and resubmit"" from the Journal of Economic Theory",,,False,0,"Borgers, T",True,,,,
,"0110",34,,796162,2,,"T","Delegated Search - Procedure Matters","Department of Economics Discussion Paper Series 04-17R","1-25",,"Other Media",,2005-Jan-01,,"http://www.economics.bham.ac.uk/research/dp2005/delegatedsearchtnd.pdf",,,,,False,0,,,,,,
,"0110",34,,796180,1,,"D","Environmental Kuznets Curves: A Spatial Econometric Analysis","51","218-230","Journal of Environmental Economics and Management",,"1096-0449",2005-Nov-01,,,"10.1016/j.jeem.2005.07.002",,,,False,0,,,,,,
,"0110",34,,796180,2,,"D","Air Pollution and Hospital Admissions: An ARMAX Modelling Approach","49","116-131","Journal of Environmental Economics and Management",,"1096-0449",2004-Jul-01,,,"10.1016/j.jeem.2004.04.001",,,,False,0,,,,,,
,"0110",34,,796180,3,,"D","Modelling Sulphur Emissions in Europe: A Spatial Econometric Approach","59","726-743","Oxford Economic Papers 59 (2007)",,"1464-3812",2007-Oct-01,,,"10.1093/oep/gpm005",,,,False,0,,,,,,
,"0110",34,,796180,4,,"D","The Amenity Value of the Italian Climate","45","319-332","Journal of Environmental Economics and Management",,"1096-0449",2003-Feb-01,,,"10.1016/S0095-0696(02)00052-9",,,,False,0,"Bigano, A",True,,,,
,"0110",34,,796163,1,,"D","Coalition Theory and its Applications: A Survery","116","F136-F155","Economic Journal",,"1468-0297",2006-Feb-01,,,"10.1111/j.1468-0297.2006.01068.x",,,,False,0,"Chatterjee, K",True,,,,
,"0110",34,,796163,2,,"T","Endogenous Market Thickness, Prices and Honesty: Quality Demand Traps","Department of Economics Discussion Paper Series","1-28",,"Other Media",,2005-Jan-15,,"http://ideas.repec.org/p/bir/birmec/05-02.html",,,,,False,0,,,,,,
,"0110",34,,796158,1,,"T","An Economic Theory of Political Institutions: Foreign Intervention and Overseas Investments","Department of Economics Discussion Paper Series 07-03","1-47",,"Other Media",,2007-Jan-01,,,,,,,False,0,"Aidt, T",True,,,,
,"0110",34,,796158,2,,"H","The BE Journal of Economic Analaysis &amp; Policy, Regional Integration, Subsidy Competition and the Relocation Choice of MNCs",,,,,,2007-Jan-01,,"http://www.bepress.com/bejeap/vol7/iss1/art1/",,"Published in the Contributions section of this refereed e-journal",,,False,0,"Corcos, G",True,,,,
,"0110",34,,796159,1,,"D","Unbounded Growth with Heterogenous Consumers","42","807-826","Journal of Mathematical Economics",,"0304-4068",2006-Jul-01,,,"10.1016/j.jmateco.2004.08.003",,,,False,0,,,,,,
,"0110",34,,796159,2,,"H","Topics in Theoretical Economics, Monotone Comparative Statics in Ordered Vector Spaces (Article 35)",,,,,,2007-Oct-04,,"http://www.bepress.com/bejte/vol7/iss1/art35",,,,,False,0,,,,,,
,"0149",34,,930727,2,2003,"A","Dynamic Economics - Quantitative methods + applications",,"296","MIT Press",,"0-262-01201-4",,,,,,,,False,0,"Cooper,R.",True,"---",False,"---",False
,"0149",34,,930727,1,,"D","Taxes, Cigarette Consumption and Smoking Intensity","96 (4)","1013-1028","American Economic Review",,"0002-8282",2006-Sep-01,,,"10.1257/aer.96.4.1013",,,,False,0,"Cornaglia,F.",False,,,,
,"0149",34,,930727,3,,"D","The Transition to Digital Television","20 (41)","160-209","Economic Policy",,"1405-126868",2005-Jan-01,,,"10.1111/j.1468-0327.2005.00135.x",,,,False,0,"Ottaviani,M.",False,,,,
,"0149",34,,930727,4,,"H","Aggregation of Non Stationary Demand Systems",,,"BE. Journals in Economic Analysis & Policy",,"1555-0494",2003-Jan-01,,"http://www.bepress.com/bejeap/contributions/vol2/iss1/art7",,,,,False,0,"Robin,J.M.",False,,,,
,"0149",34,,930730,1,,"D","Competition in Two-Sided Markets","37 (3)","668-691","Rand Journal of Economics",,"0741-6261",2006-Sep-01,,"http://www.econ.ucl.ac.uk/downloads/armstrong/veniceRAND3.pdf",,,,,False,0,,,,,,
,"0149",34,,930730,2,2007,"C","<p>Recent developments in the theory of regulation</p>","Handbook of Industrial Organization, Volume 3","1557-1700","North-Holland","Armstrong,M.,Porter,R. Arrow,K.,Intriligator,M.","978-0-444-82435-6",,,,"10.1016/S1573-448X(06)03027-5",,,,False,0,"---",False,"---",False,"Sappington,D.",True
,"0149",34,,930730,4,,"D","Competitive Price Discrimination","32 (4)","579-605","Rand Journal of Economics",,"0741-6261",2001-Dec-01,,"http://www.jstor.org/view/07416261/di021416/02p0046g/0","10.2307/2696383",,,,False,0,"Vickers,J.",True,"---",False,"---",False
,"0149",34,,930730,3,,"D","Regulation, Competition and Liberalization","44 (2)","325-366","Journal of Economic Literature",,"0022 0515",2006-Jun-01,,"http://else.econ.ucl.ac.uk/papers/uploaded/177.pdf","10.1257/jel.44.2.325",,,,False,0,"Sappington,D.",True,"---",False,"---",False
,"0149",34,,930731,4,,"D","The Demand for Money, Financial Innovation and the Welfare Cost of Inflation: an Analysis with Households' Data","2 (110)","317-351","Journal of Political Economy",,"0022-3808",2002-Jul-01,,,,,,,False,0,"Guiso,L",True,"Jappelli,T.",True,"---",False
,"0149",34,,930731,1,,"D","Pension Wealth and Household Saving: evidence from pension reforms in the UK.","93 (5)","1499-1521","American Economic Review",,"0002-8282",2003-Dec-01,,,"10.1257/000282803322655419",,,,False,0,"Rohwedder,S.",False,,,,
,"0149",34,,930731,3,,"D","Social security and Households Savings","118 (3)","1075-1120","Quarterly Journal of Economics",,"0033-5533",2003-Aug-01,,,"10.1162/00335530360698504",,,,False,0,"Brugiavini,A.",True,"---",False,"---",False
,"0149",34,,930731,2,,"D","Trade Reforms and Income Inequality in Colombia","74","331-366","Journal of Development Economics",,"0304-3878",2004-Aug-01,,,"10.1016/j.jdeveco.2003.07.001",,,,False,0,"Goldberg,P.K",True,"Pavcnik,K.",True,"---",False
,"0149",34,,930732,1,,"D","Risk pooling, precautionary saving and consumption growth","68 (4)","757-779","Review of Economic Studies",,"0034-6527",2001-Oct-01,,"http://www.blackwell-synergy.com/doi/pdf/10.1111/1467-937X.00189","10.1111/1467-937X.00189",,,,False,0,"Blundell,R",False,"Brugiavini,A.",True,"---",False
,"0149",34,,930732,3,,"D","<p>Understanding Differences in Household Financial Wealth between the United States and Great Britain</p>","38 (2)","241-279","Journal of Human Resources",,"0022-166X",2003-May-01,,,"10.2307/1558745",,,,False,0,"---",False,"Blundell,R",False,"Smith,J.P.",True
,"0149",34,,930732,4,,"D","Disease and Disadvantage in the USA and in England.","295 (17)","2037-2045","Journal of the American Medical Association",,"0098-7484",2006-May-01,,,"10.1001/jama.295.17.2037",,,,True,1,"Marmot,M.G",False,"Oldfied,Z",True,"Smith,J.P.",True
,"0149",34,,930732,2,,"D","Assets Holding and Consumption Volatility","4 (110)","771-792","Journal of Political Economy",,"0022-3808",2002-Aug-01,,,"10.1086/340774",,,,False,0,"Attanasio,O",False,"Tanner,S.",True,"---",False
,"0149",34,,930733,3,,"D","Short-run economic effects of the Scottish smoking ban","36 (1)","149-154","International Journal of Epidemilogy",,"0300-5771",2007-Feb-01,,"http://ije.oxfordjournals.org/cgi/reprint/dyl258?ijkey=Xz91O4MDULuKEtr&keytype=ref","10.1093/ije/dyl258",,,,True,0,"Adda,J",False,"Machin,S.",False,,
,"0149",34,,930733,4,,"D","The Length of Ministerial Tenure in the United Kingdom 1945-1997","37 (2)","245-262","British Journal of Political Science",,"0007-1234",2007-Apr-01,,,"10.1017/S0007123407000129",,,,True,0,"Dewan,T",True,"Dowding,K.",True,"---",False
,"0149",34,,930733,1,,"H","Giving Children a Better Start: Preschool Attendance and School-Age Profiles.",,,,,,2006-Aug-01,,"http://www.ifs.org.uk/wps/wp0618.pdf",,"This paper is forthcoming at the Journal of Public Economics.",,,False,0,"Galiani,S",True,"Manacorda,M.",True,"---",False
,"0149",34,,930733,2,,"D","The Effect of a Large Expansion of Pre-primary School Facilities on Preschool Attendance and Maternal Employment","14 (3)","665-680","Labour Economics",,"0927-5371",2007-Jun-01,,"http://dx.doi.org/10.1016/j.labeco.2007.01.003","10.1016/j.labeco.2007.01.003",,,,False,0,"Galiani,S.",True,"---",False,"---",False
,"0149",34,,930734,4,,"D","On Endogenously Staggered Prices","69 (4)","97-116","Review of Economic Studies",,"0034-6527",2002-Jan-01,,,"10.1111/1467-937X.00199",,,,False,0,,,,,,
,"0149",34,,930734,3,,"D","Moral Hazard and Private Monitoring","102 (1)","16-39","Journal of Economic Theory",,"0022-0531",2002-Jan-01,,"http://www.idealibrary.com","10.1006/jeth.2001.2861",,,,False,0,"van Damme,E.",True,"---",False,"---",False
,"0149",34,,930734,2,,"D","Belief-Based Equilibria in the Prisoners' Dilemma with Private Monitoring","102 (1)","40-69","Journal of Economic Theory",,"0022-0531",2002-Jan-01,,"http://www.idealibrary.com","10.1006/jeth.2001.2878",,,,False,0,"Obara,I",True,"---",False,"---",False
,"0149",34,,930734,1,,"D","Is Perfect Price Discrimination Really Efficient? An Analysis of Free Entry","35 (4)","762-776","Rand Journal of Economics",,"0741-6261",2004-Oct-01,,"http://links.jstor.org/sici?sici=0741-6261%28200424%2935%3A4%3C762%3AIPPDRE%3E2.0.CO%3B2-X",,,,,False,0,"To,T.",True,"---",False,"---",False
,"0149",34,,930736,2,,"D","Interpreting aggregate wage growth: The role of labour market participation","93 (4)","1114-1131","American Economic Review",,"0002-8282",2003-Sep-01,,"http://links.jstor.org/sici?sici=0002-8282%28200311%2993%3A4%3C1114%3AIAWGTR%3E2.0.CO%3B2-1","10.1257/000282803769206223",,,,False,0,"Reed,H",False,"Stoker,T",True,"---",False
,"0149",34,,930736,4,,"D","Collective labor supply: heterogeneity and nonparticipation","74 (4)","417-445","Review of Economic Studies",,"0034-6527",2007-Apr-01,,"http://www.blackwell-synergy.com/doi/pdf/10.1111/j.1467-937X.2007.00440.x","10.1111/j.1467-937X.2007.00440.x",,,,False,0,"Chiappori,P",True,"Magnac,T",True,"Meghir,C.",False
,"0149",34,,930736,3,,"D","Nonparametric Engel Curves and Revealed Preference","71 (1)","205-240","Econometrica",,"0012-9682",2003-Jan-01,,"http://links.jstor.org/sici?sici=0012-9682%28200301%2971%3A1%3C205%3ANECARP%3E2.0.CO%3B2-6","10.1111/1468-0262.00394",,,,False,0,"Browning,M",True,"Crawford,I.",True,"---",False
,"0149",34,,930736,1,,"D","Endogeneity in Semiparametric Binary Response Models","71(3) (248)","581-913","Review of Economic Studies",,"0034-6527",2004-Jul-01,,"http://www.blackwell-synergy.com/doi/pdf/10.1111/j.1467-937X.2004.00299.x","10.1111/j.1467-937X.2004.00299.x",,,,False,0,"Powell,J.",True,"---",False,"---",False
,"0149",34,,930738,3,,"D","Export market performance of OECD countries: an empirical examination of the role of cost competitiveness","111 (468)","128-162","Economic Journal",,"0013-0133",2001-Jan-01,,,"10.1111/1468-0297.00592",,,,False,0,"Glyn,A",True,"Van Reenen,J.",False,"---",False
,"0149",34,,930738,2,,"D","Finance, investment and growth","69 (1)","191-226","Journal of Financial Economics",,"0304-405X",2003-Jul-01,,,"10.1016/S0304-405X(03)00112-0",,,,False,0,"Mayer,C.",True,"---",False,"---",False
,"0149",34,,930738,4,,"H","A Minimum of Rivalry: Evidence from Transition Economies on the Importance of Competition for Innovation and Growth",,,"Contributions to Economic Analysis & Policy",,"1935-1682",2004-Sep-01,,"http://www.bepress.com/bejeap/contributions/vol3/iss1/art17",,,,,False,0,"Schaffer,M",True,"Seabright,P.",True,"---",False
